establecimiento;madre_rp;madre_caravana_color;fecha_nacimiento;sexo;pelaje;caravana_numero;caravana_color;peso_nac_kg;padre;padre_rp;observaciones
El Triunfo - Videla;D035;Blanca;10/08/2026;H;Colorada;1;Blanca;23;Hércules B332;B332;Melliza 1 de 2
El Triunfo - Videla;D035;Blanca;10/08/2026;H;Colorada;2;Blanca;20;Hércules B332;B332;Melliza 2 de 2
El Triunfo - Videla;D039;Blanca;15/08/2026;H;Negra;N150;Verde;25;Hércules B332;B332;
El Triunfo - Videla;49;Blanca;15/08/2026;H;Negra;N149;Verde;19,5;Poncho;9426;
El Triunfo - Videla;N005;Blanca;15/08/2026;H;Negra;N148;Verde;22;Jaque Mate;1039;
El Triunfo - Videla;D033;Blanca;18/08/2026;H;Colorada;N145;Verde;27;Ítalo;833;
El Triunfo - Videla;53;Blanca;18/08/2026;H;Colorada;N144;Verde;29,5;Jaque Mate;1039;
El Triunfo - Videla;55;Blanca;18/08/2026;M;Colorado;N147;Verde;25;Hércules B332;B332;
El Triunfo - Videla;3;Blanca;18/08/2026;M;Colorado;N146;Verde;30;Jaque Mate;1039;
El Triunfo - Videla;D423;Blanca;19/08/2026;H;Colorada;N1;Amarilla;26;Jaque Mate;1039;
El Triunfo - Videla;N7;Blanca;19/08/2026;M;Colorado;N2;Amarilla;34;Capibara;G610;
El Triunfo - Videla;C371;Blanca;20/08/2026;M;Colorado;N3;Amarilla;28;Jaque Mate;1039;
El Triunfo - Videla;D023;Blanca;26/08/2026;H;Colorada;N4;Amarilla;29;Jaque Mate;1039;
El Triunfo - Videla;65;Blanca;27/08/2026;H;Colorada;N5;Amarilla;30,5;Kaya;C734;
El Triunfo - Videla;D027;Blanca;31/08/2026;M;Negra;N6;Amarilla;33;Kaya;C734;
