rp,chip,sexo,fecha_nac,raza,registro,categoria,pelo,madre_rp,madre_hba,padre_rp,padre_hba
N018,,M,2025-03-24,A. ANGUS,PP,TERNERO,COLORADO,C381,859516,FRANZ 38,876302
124,32010036260966,M,2025-06-19,A. ANGUS,PP,TERNERO,COLORADO,D035,885436,ROBOVER FRANZ,
105,32010036260870,H,2025-08-11,A. ANGUS,PP,TERNERA,NEGRO,B643,851272,JAQUE MATE,877604
126,,M,2025-08-13,A. ANGUS,PP,TERNERO,NEGRO,N001,904520,PONCHO,904427
128,32010036260848,M,2025-08-13,A. ANGUS,PP,TERNERO,COLORADO,63,895245,KAMANI,864957
N022,,M,2025-08-16,A. ANGUS,PP,TERNERO,COLORADO,C371,859514,HUINCA,841176
N009,32010036260854,H,2025-08-16,A. ANGUS,PP,TERNERA,COLORADO,D423,868037,MINIHUE,846434
117,32010036260873,H,2025-08-27,A. ANGUS,PP,TERNERA,NEGRO,D027,885434,LUCUMA,834939
121,32010036260861,H,2025-09-07,A. ANGUS,PP,TERNERA,NEGRO,27,882504,IVAR 4,864363
138,32010036260969,M,2025-09-09,A. ANGUS,PP,TERNERO,NEGRO,31,884532,IVAR 4,864363
123,32010036260852,H,2025-09-13,A. ANGUS,PP,TERNERA,COLORADO,C437,859544,IVAR 4,864363
N024,,M,2025-09-15,A. ANGUS,PP,TERNERO,COLORADO,B123,845981,KARE 16,875410
125,32010036260850,H,2025-09-20,A. ANGUS,PP,TERNERA,COLORADO,21,872224,IVAR 4,864363
127,32010036260828,H,2025-09-22,A. ANGUS,PP,TERNERA,NEGRO,55,895220,ZEUS II,880904
140,,M,2025-09-27,A. ANGUS,PP,TERNERO,NEGRO,61,895244,IVAR 4,864363
142,32010036260835,M,2025-09-29,A. ANGUS,PP,TERNERO,COLORADO,29,875508,IVAR 4,864363
129,32010036260868,H,2025-09-29,A. ANGUS,PP,TERNERA,NEGRO,B707,851298,KARE 16,875410
M017,32010026155360,H,2025-10-03,A. ANGUS,PP,TERNERA,COLORADO,D005,,ZEUS III,880905
N026,32010036260836,M,2025-10-03,A. ANGUS,PP,TERNERO,COLORADO,D849,869264,IVAR 4,864363
146,32010036260839,M,2025-10-11,A. ANGUS,PP,TERNERO,COLORADO,11,870920,KARE 16,875410
148,32010036260829,M,2025-10-14,A. ANGUS,PP,TERNERO,NEGRO,69,895248,ZEUS II,880904
133,32010036260833,H,2025-10-19,A. ANGUS,PP,TERNERA,COLORADO,F553,888132,KARE 16,875410
152,32010036260834,M,2025-10-31,A. ANGUS,PP,TERNERO,NEGRO,71,895249,ZEUS II,880904
