rp,peso,fecha,contexto
N018,30.00,2025-03-24,NACIMIENTO
124,29.20,2025-06-19,NACIMIENTO
105,22.50,2025-08-11,NACIMIENTO
126,33.00,2025-08-13,NACIMIENTO
128,20.80,2025-08-13,NACIMIENTO
N022,31.40,2025-08-16,NACIMIENTO
N009,32.70,2025-08-16,NACIMIENTO
117,29.20,2025-08-27,NACIMIENTO
121,24.50,2025-09-07,NACIMIENTO
138,26.00,2025-09-09,NACIMIENTO
123,26.00,2025-09-13,NACIMIENTO
N024,23.90,2025-09-15,NACIMIENTO
125,28.70,2025-09-20,NACIMIENTO
127,25.60,2025-09-22,NACIMIENTO
140,27.60,2025-09-27,NACIMIENTO
142,26.70,2025-09-29,NACIMIENTO
129,24.00,2025-09-29,NACIMIENTO
M017,31.00,2025-10-03,NACIMIENTO
N026,34.60,2025-10-03,NACIMIENTO
146,31.50,2025-10-11,NACIMIENTO
148,25.80,2025-10-14,NACIMIENTO
133,28.30,2025-10-19,NACIMIENTO
152,26.80,2025-10-31,NACIMIENTO
